,company,name,models,gear,year,kms,owner,fuel,price
282,Tata,Tiago,XZ 1.2 REVOTRON,Manual,2016,41183,1,P,508699
283,Maruti,Baleno,ZETA 1.2 K12,Manual,2017,5190,1,P,674999
284,Maruti,Baleno,ALPHA 1.2 K12,Manual,2017,26109,2,P,697899
285,Hyundai,Creta,1.6 SX PLUS AUTO PETROL,Automatic,2018,23436,2,P,1222599
286,Maruti,Baleno,DELTA 1.2 K12 AMT,Automatic,2017,28997,1,P,616699
287,Hyundai,Elite i20,1.2 SPORTS PLUS VTVT,Manual,2019,4765,1,P,747199
288,Maruti,Eeco,5 STR WITH AC PLUSHTR,Manual,2019,11944,1,P,450199
289,Honda,Amaze,1.2 VXMT I VTEC,Manual,2018,14581,1,P,723499
290,Mahindra,XUV 3OO,W8 (O) DIESEL  AT,Automatic,2020,24671,1,D,1431799
291,Hyundai,Eon,ERA PLUS,Manual,2012,88589,1,P,267999
292,Honda,Amaze,1.2 EXMT I VTEC,Manual,2014,44013,2,P,474399
293,Ford,Figo Aspire,1.2 TITANIUM+ PETROL,Manual,2015,22831,2,P,529199
294,Maruti,Dzire,VXI,Manual,2018,48867,1,P,674099
295,Hyundai,Elite i20,1.2 SPORTS PLUS VTVT,Manual,2020,7351,1,P,781499
296,Volkswagen,Polo,COMFORTLINE 1.2L PETROL,Manual,2016,39420,2,P,553399
297,Ford,Ecosport,1.5 TITANIUM TI VCT,Manual,2019,17389,1,P,900699
298,Ford,Ecosport,1.5AMBIENTE TI VCT,Manual,2013,39771,2,P,538299
299,Hyundai,Elite i20,ASTA 1.2,Manual,2018,24900,1,P,716099
300,Hyundai,Elite i20,1.2 MAGNA PLUS VTVT,Manual,2019,15174,3,P,680199
301,Ford,Figo,1.2 TITANIUM DURATEC,Manual,2013,40970,1,P,409299
302,Maruti,IGNIS,ZETA 1.2 K12 AMT,Automatic,2017,22957,1,P,608999
303,Maruti,Baleno,DELTA 1.2 K12,Manual,2017,99852,1,P,616699
304,Hyundai,i20,MAGNA O 1.2,Manual,2013,16937,1,P,399599
305,Renault,Duster,RXL PETROL 104,Manual,2016,27083,2,P,737399
306,Skoda,Superb,1.8 TSI LK AT,Automatic,2016,97574,2,P,1424299
307,MG,HECTOR,SHARP 2.0 DIESEL,Manual,2019,10828,1,D,1843499
308,Ford,New Figo,1.2 TITANIUM,Manual,2017,30657,1,P,516099
309,Hyundai,i20,MAGNA O 1.2,Manual,2013,15679,1,P,399599
310,Hyundai,i20,MAGNA O 1.2,Manual,2013,21448,1,P,466199
311,Mahindra,XUV500,W6 4X2,Manual,2017,35030,1,D,1268899
312,MG,HECTOR,SHARP 2.0 DIESEL,Manual,2019,12138,1,D,1858199
313,Ford,New Figo,1.2 TITANIUM,Manual,2017,32833,1,P,516099
314,Maruti,Baleno,DELTA 1.2 K12,Manual,2019,54144,1,P,666899
315,KIA,SELTOS,HTX 1.5 PETROL MT,Manual,2019,20181,2,P,1406399
316,Maruti,Alto,LXI,Manual,2008,45812,2,P,195699
317,Hyundai,Grand i10,ASTA 1.2 KAPPA VTVT,Manual,2014,27976,1,P,521399
318,Ford,New Figo,1.2 TITANIUM,Manual,2017,41684,2,P,516099
319,Hyundai,i10,MAGNA 1.2 KAPPA2,Manual,2010,63046,1,P,266599
320,Hyundai,Grand i10,ASTA 1.2 AT VTVT,Automatic,2014,41080,1,P,506299
321,Hyundai,Grand i10,SPORTZ 1.2 KAPPA VTVT,Manual,2014,44787,1,P,449699
322,Hyundai,Grand i10,SPORTZ 1.2 KAPPA VTVT,Manual,2014,37993,1,P,449699
323,Hyundai,Grand i10,SPORTZ 1.2 KAPPA VTVT,Manual,2014,26870,1,P,449699
324,Hyundai,i20,MAGNA O 1.2,Manual,2013,45508,1,P,399599
325,Honda,Jazz,1.2 V MT,Manual,2015,61003,3,P,500999
326,Ford,Ecosport,1.5 TREND+ TDCI,Manual,2016,31870,1,D,753299
327,Maruti,Celerio X,Vxi,Manual,2019,38258,2,P,475299
328,Maruti,Vitara Brezza,ZXI,+,2020,21515,1,P,1062399
329,Maruti,Celerio,VXI,Manual,2017,163696,1,P,383299
330,Ford,Ecosport,1.5 TITANIUM TI VCT AT,Automatic,2017,23213,1,P,845099
331,Maruti,Celerio,VXI AMT,Automatic,2015,34687,2,P,424099
332,Ford,Ecosport,1.5TITANIUM TDCI,Manual,2019,19675,2,D,926399
333,Maruti,Alto 800,LXI,Manual,2013,22391,2,P,234999
334,Ford,Ecosport,1.5TITANIUM TDCI,Manual,2016,88161,1,D,739199
335,Hyundai,i20,MAGNA O 1.2,Manual,2011,13969,1,P,348899
336,Ford,Ecosport,1.5 TITANIUM TI VCT AT,Automatic,2018,26372,1,P,986699
337,Maruti,Alto 800,LXI,Manual,2013,22668,1,P,234999
338,Hyundai,NEW SANTRO,1.1 SPORTS AMT,Automatic,2018,26071,2,P,532099
339,Hyundai,Santro Xing,GL PLUS,Manual,2011,102743,1,P,243399
340,Hyundai,Eon,MAGNA PLUS,Manual,2014,50609,1,P,323399
341,Datsun,Redi Go,1.0 T(O),AT,2018,2513,2,P,375199
342,Maruti,Swift Dzire,ZDI AMT,Automatic,2016,55110,1,D,672299
343,Maruti,Swift,VXI,Manual,2011,70715,1,P,373099
344,Maruti,Swift,ZDI AMT,Automatic,2018,60214,1,D,773199
345,Maruti,Alto,VXI,Manual,2019,17352,1,P,395899
346,Ford,Ecosport,1.5 TITANIUM PLUS TI VCT AT,Automatic,2020,13853,1,P,1157699
347,Hyundai,Grand i10,ASTA 1.2 (O) VTVT,Manual,2015,57741,1,P,495999
348,Hyundai,Eon,D LITE PLUS,Manual,2015,28640,2,P,304099
349,Maruti,Alto,LXI,Manual,2011,46871,2,P,189499
350,Maruti,IGNIS,SIGMA 1.2 K12,Manual,2020,4656,1,P,525399
351,Maruti,Swift Dzire,VXI 1.2 BS IV,Manual,2013,34022,1,P,424499
352,Honda,Jazz,1.2 VX AT,Manual,2018,15771,1,P,802399
353,Maruti,Alto,LXI,Manual,2012,39853,2,P,203299
354,Maruti,Swift,VXI,Manual,2014,65138,1,P,493499
355,Tata,Tiago,XZ 1.2 REVOTRON,Manual,2018,18623,1,P,562999
356,Tata,Tiago,XZ 1.2 REVOTRON,Manual,2018,19255,1,P,562999
357,Tata,Tiago,XZ 1.2 REVOTRON,Manual,2018,26150,1,P,562999
358,Renault,Kwid,CLIMBER 1.0 AT,Automatic,2017,27188,1,P,451999
359,Honda,Jazz,1.2 V AT,Automatic,2017,17578,1,P,790999
360,Maruti,Swift,VXI,Manual,2012,37366,1,P,434599
361,Hyundai,i20,SPORTZ 1.2 VTVT,Manual,2012,65828,1,P,417699
362,Honda,Brio,1.2 V MT I VTEC,Manual,2013,60437,2,P,387899
363,Honda,Jazz,1.2 V AT,Automatic,2017,34701,1,P,762999
364,Hyundai,i20,SPORTZ 1.2 VTVT,Manual,2012,46871,1,P,417699
365,Hyundai,NEW SANTRO,1.1 SPORTS AMT,Automatic,2020,4482,1,P,645999
366,Hyundai,Grand i10,SPORTZ (O) 1.2 AT VTVT,Automatic,2017,27317,2,P,633699
